,,,,,,,,,
Риск-факторы,,,,,,,,,
,,,,,,,,,
№,ГРУППА,UFR ID,ГРУППА,Short Name,Описание,Группа,Активируется при отсутствии UMF,Что искать в артефакте (Evidence),LLM Audit Prompt
16,ПРОМПТ (Prompt Engineering),UFR-014,ПРОМПТ (Prompt Engineering),SECRETS_IN_PROMPT,"Конфиденциальные данные (PII, API-ключи) в тексте системного промпта",PROMPT,,"System prompt: содержит API-ключи (sk-..., AKIA...), пароли, токены, PII (email, телефон, ФИО), connection strings (postgresql://user:pass@host), internal URLs; данные могут быть извлечены через prompt injection. Ref: OWASP LLM06 (Sensitive Information Disclosure), CWE-798 (Hard-coded Credentials)","Проанализируй текст system prompt и все шаблоны промптов в коде. Найди: (1) API-ключи и токены (паттерны sk-*, AKIA*, ghp_*, xoxb-*), (2) пароли и connection strings, (3) персональные данные (email, телефоны, ФИО, адреса), (4) внутренние URL и IP-адреса, (5) названия внутренних систем, баз данных, таблиц. Перечисли каждую находку с указанием строки и типа конфиденциальных данных."
17,ПРОМПТ (Prompt Engineering),UFR-015,ПРОМПТ (Prompt Engineering),UNSTRUCTURED_PROMPT,Единый неструктурированный системный промпт без секций,PROMPT,UMF-006,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
18,ПРОМПТ (Prompt Engineering),UFR-016,ПРОМПТ (Prompt Engineering),NO_INSTRUCTION_HIERARCHY,"Промпт агента содержит инструкции одного уровня приоритета (flat hierarchy), не разграничивая системные и пользовательские",PROMPT,UMF-010,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
19,ПРОМПТ (Prompt Engineering),UFR-017,ПРОМПТ (Prompt Engineering),AGENT_OUTPUT_IN_SYSTEM_ROLE,Размещение вывода агента в role:system промпта другого агента,PROMPT,,"Код оркестратора: output агента A включается в messages другого агента B с role:'system'; это позволяет агенту A внедрить произвольные инструкции с системным приоритетом для агента B; корректно: role:'user' или role:'assistant' с маркировкой источника. Ref: OWASP LLM01, OWASP LLM08 (Excessive Agency)","Проанализируй код межагентной коммуникации. Для каждой передачи данных между агентами определи: (1) в какой role помещается вывод одного агента при передаче другому (system / user / assistant / tool), (2) есть ли случаи, когда вывод агента попадает в role:'system', (3) маркируется ли источник данных (agent_id, trust level). Каждый случай role:'system' с содержимым от другого агента — это находка."
20,ПРОМПТ (Prompt Engineering),UFR-018,ПРОМПТ (Prompt Engineering),PERSONA_ROLEPLAY_RISK,Role-play инструкция допускающая произвольную роль / few-shot с демографическими признаками,PROMPT,,"System prompt: содержит инструкцию 'You are {variable_role}' где роль задаётся пользователем без whitelist допустимых значений; few-shot примеры содержат возраст, пол, расу, национальность, религию или другие демографические признаки. Ref: OWASP LLM09 (Misinformation), NIST AI 100-2 (Bias)","Проанализируй system prompt и все шаблоны промптов. Найди: (1) инструкции задания роли — есть ли ограничение допустимых ролей (whitelist), (2) few-shot примеры — содержат ли они демографические признаки (возраст, пол, раса, национальность, религия), (3) может ли пользователь задать произвольную роль через ввод. Отметь все примеры с демографическими признаками и незащищённые role-play инструкции."
22,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-019,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",PERSISTENT_MEMORY_UNVALIDATED,Персистентная память между сессиями с записью произвольного контента без валидации,CTX,,"Код: memory.write(key, user_input) / memory.write(key, llm_output) — запись в persistent store (Redis, DB, файл) без content_filter() на injection patterns; нет TTL/expiration; нет scope per user_id; данные сохраняются между сессиями; позволяет poisoning через persisted injection. Ref: OWASP LLM01 (Persistent Prompt Injection), MITRE ATLAS AML.T0051","Найди в коде все операции записи в персистентную память (memory store, Redis, DB, файлы). Для каждой операции определи: (1) что записывается (user input, LLM output, tool results), (2) есть ли фильтрация контента перед записью (content filter, injection pattern check), (3) установлен ли TTL/expiration, (4) изолированы ли данные по user_id/session_id, (5) используются ли эти данные в промптах будущих сессий."
23,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-020,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",FULL_HISTORY_IN_CONTEXT,Полная история диалога / CoT в контекстном окне без ограничения,CTX,,"Код: messages = conversation_history (полная история без truncation); CoT/reasoning/scratchpad включается в контекст следующего вызова; при длинных сессиях ранние injection payloads остаются в контексте. Ref: OWASP LLM01, CWE-400 (Uncontrolled Resource Consumption)","Проанализируй как формируется messages[] для каждого LLM-вызова. Определи: (1) включается ли полная история диалога без ограничения, (2) есть ли механизм truncation / sliding window / summarization, (3) включаются ли chain-of-thought / reasoning / scratchpad блоки в контекст следующего вызова, (4) какой максимальный размер контекста может быть достигнут в длинной сессии."
24,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-021,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",CROSS_USER_MEMORY_LEAK,Общий memory store для нескольких пользователей (shared context),CTX,,"Код: memory_store / vector_store / Redis / DB используется как общий для всех пользователей без partition по user_id / tenant_id; один пользователь может прочитать или отравить данные другого. Ref: OWASP LLM06, CWE-200 (Information Exposure)","Проанализируй архитектуру хранения данных (memory store, vector DB, cache). Определи: (1) есть ли изоляция данных по пользователям (namespace, partition, tenant_id), (2) может ли запрос одного пользователя вернуть данные другого, (3) есть ли shared context / shared memory, доступный нескольким пользователям."
25,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-022,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",CONTEXT_WINDOW_OVERFLOW,Переполнение контекстного окна,CTX,UMF-090,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
26,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-023,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",HIGH_TEMPERATURE,Высокое значение temperature / top_p в критичном домене,CTX,,"Конфиг LLM: temperature ≥ 0.7 или top_p ≥ 0.9 при использовании в safety-critical домене (медицина, финансы, юриспруденция, управление инфраструктурой); высокая стохастичность увеличивает вероятность галлюцинаций и непредсказуемых ответов. Ref: OWASP LLM09 (Misinformation), NIST AI RMF MAP 2.3","Найди в конфигурации все параметры генерации LLM. Для каждого LLM-вызова определи: (1) значение temperature, (2) значение top_p, (3) домен применения. Отметь все случаи где temperature ≥ 0.7 или top_p ≥ 0.9 в критичных доменах (медицина, финансы, юриспруденция, безопасность, управление инфраструктурой)."
27,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-024,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UNBOUNDED_MAX_TOKENS,Параметр max_tokens задан без верхней границы или установлен на максимальное значение контекстного окна,CTX,,"Конфиг LLM: параметр max_tokens не задан (используется дефолт провайдера), или установлен на максимальное значение контекстного окна модели (128K/200K); позволяет генерацию неоправданно длинных ответов, увеличивая стоимость и риск утечки. Ref: OWASP LLM10 (Model Denial of Service), CWE-400","Найди в конфигурации значение max_tokens для каждого LLM-вызова. Отметь случаи где: (1) max_tokens не задан, (2) max_tokens установлен на максимальное значение модели, (3) max_tokens не соответствует ожидаемой длине ответа для данной задачи."
28,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-025,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",ZERO_REPETITION_PENALTY,Нулевые frequency/presence penalty — усиление зацикливания,CTX,,"Конфиг LLM: frequency_penalty = 0 AND presence_penalty = 0 (или не заданы, дефолт = 0); при нулевых penalty модель склонна к зацикливанию и повторению фраз. Ref: OWASP LLM09, связан с hallucination loops",Найди в конфигурации значения frequency_penalty и presence_penalty. Отметь все LLM-вызовы где оба параметра равны 0 или не заданы. Обрати внимание на использование в длинных генерациях и диалогах.
29,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-026,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",GENERAL_MODEL_SPECIALIZED_DOMAIN,General-purpose модель в специализированном домене,CTX,,"Конфиг: используется general-purpose модель (gpt-4o, claude-3, llama-3) в узкоспециализированном домене (медицинская диагностика, юридические консультации, финансовый анализ); нет fine-tuned или domain-specific модели. Ref: OWASP LLM09, NIST AI RMF GOVERN 1.2","Определи: (1) какая модель используется (general-purpose или domain-specific / fine-tuned), (2) в каком домене применяется приложение, (3) если домен специализированный — обоснован ли выбор general-purpose модели, (4) есть ли domain-specific evaluation результаты для выбранной модели."
30,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UFR-027,"КОНТЕКСТ, ПАМЯТЬ, КОНФИГ МОДЕЛИ (Context, Memory & Model Config)",UNPINNED_MODEL_VERSION,Нефиксированная версия модели (latest / auto-upgrade),CTX,UMF-077,"Конфиг: model = 'latest' / 'gpt-4o' без pin версии (например gpt-4o-2024-08-06); auto_upgrade = true; нет фиксации версии в lock-файле; обновление модели провайдером может изменить поведение без уведомления. Ref: OWASP LLM05 (Supply Chain), NIST AI RMF GOVERN 1.5","Найди в конфигурации все указания модели. Определи: (1) зафиксирована ли конкретная версия модели (с датой / hash), (2) используется ли тег 'latest' или alias без версии, (3) включён ли auto_upgrade, (4) есть ли lock-файл с pinned версией модели."
32,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-028,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,NO_RAG_GROUNDING,Генерация ответов исключительно из параметрической памяти модели (без retrieval-augmentation),RAG,UMF-031,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
33,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-029,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UNSEGMENTED_RAG,Единый RAG-индекс без сегментации по уровням доступа и конфиденциальности,RAG,UMF-034,"Код RAG: единый vector index (Pinecone, Weaviate, ChromaDB, FAISS) без metadata filter по access_level, tenant_id, classification; все документы всех пользователей в одном namespace; запрос одного пользователя может вернуть конфиденциальные документы другого. Ref: OWASP LLM06, CWE-862 (Missing Authorization)","Проанализируй архитектуру RAG pipeline. Определи: (1) используется ли единый vector index для всех пользователей, (2) есть ли metadata filter по access_level / tenant_id / classification при retrieval, (3) может ли запрос одного пользователя вернуть документы другого или документы с более высоким уровнем доступа."
34,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-030,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UNVETTED_RAG_SOURCES,RAG с неверифицированными / устаревшими / неаудированными источниками,RAG,UMF-031,"RAG config: список источников включает неаудированные URL, user-uploaded документы, непроверенные wiki, устаревшие документы без даты актуальности; нет поля source_trust_level или audit_date для источников. Ref: OWASP LLM03 (Training Data Poisoning), NIST AI RMF MAP 2.3","Проанализируй источники данных для RAG. Для каждого источника определи: (1) верифицирован ли он (trusted source), (2) когда последний раз обновлялся, (3) есть ли audit trail / approval process для добавления источников, (4) есть ли source_trust_level или classification для ранжирования достоверности."
35,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-031,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,EXTERNAL_RAG_NO_VALIDATION,RAG-индексация из внешних источников без валидации контента,RAG,,"Код: index.add(documents_from_external_source) без content_validation(); нет проверки на prompt injection patterns в индексируемых документах; нет content moderation перед индексацией. Ref: OWASP LLM03, OWASP LLM01 (Indirect Prompt Injection via RAG)","Найди в коде все операции добавления документов в RAG-индекс. Для каждой определи: (1) проходит ли контент валидацию перед индексацией, (2) выполняется ли проверка на prompt injection patterns, (3) есть ли content moderation / toxicity check, (4) из каких источников приходят документы (internal / external / user-uploaded)."
36,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-032,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,PUBLIC_KB_UPLOAD,Публичный эндпоинт для загрузки документов в базу знаний без контроля,RAG,,"API: POST /kb/upload, /documents/add или аналогичный endpoint для загрузки документов в базу знаний без аутентификации, без авторизации по роли, без rate limiting; любой пользователь (или анонимный пользователь) может добавить документ. Ref: OWASP LLM01, CWE-306 (Missing Authentication)","Найди все endpoints для загрузки документов в базу знаний / RAG. Определи: (1) требуется ли аутентификация, (2) проверяется ли роль/права пользователя (authorization), (3) есть ли rate limiting, (4) логируются ли операции загрузки."
37,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-033,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,METADATA_IN_PROMPT,Включение чувствительных метаданных документов в контекст LLM,RAG,,"Код RAG: document metadata (author, file_path, permissions, creation_date, internal tags) включается в prompt template как часть контекста; раскрывает внутреннюю структуру, имена пользователей, пути файловой системы. Ref: OWASP LLM06, CWE-200","Проанализируй prompt template для RAG. Определи: (1) какие metadata полей документов включаются в промпт (author, path, permissions, dates), (2) содержат ли metadata чувствительную информацию (internal paths, usernames, access levels), (3) необходимы ли эти metadata для задачи или они избыточны."
38,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-034,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,RAG_NO_RELEVANCE_THRESHOLD,Retrieval-pipeline передаёт документы в контекст LLM при любом значении similarity score,RAG,UMF-032,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
39,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-035,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,RAG_NO_SOURCE_ATTRIBUTION,Ответы LLM передаются пользователю без атрибуции источников и ссылок на документы,RAG,UMF-031,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
40,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-036,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,EMBEDDING_MODEL_MISMATCH,Несоответствие embedding-модели между index и query,RAG,UMF-039,"Конфиг RAG: embedding model при индексации (index time) отличается от embedding model при запросе (query time); или версии одной модели различаются; приводит к semantic drift и нерелевантным результатам. Ref: связан с OWASP LLM09 (Misinformation), degradation of RAG quality","Проанализируй конфигурацию RAG pipeline. Определи: (1) какая embedding модель используется при индексации, (2) какая embedding модель используется при запросе, (3) совпадают ли модели и их версии, (4) есть ли механизм переиндексации при смене embedding модели."
41,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-037,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,CHUNKING_STRATEGY_LOSS,Стратегия чанкинга с потерей контекста,RAG,,"Код: chunk_size фиксированный (512/1024 tokens) без overlap; разрыв предложений, абзацев, таблиц; потеря cross-chunk контекста; нет metadata linking между связанными чанками. Ref: связан с OWASP LLM09, degradation of RAG quality","Проанализируй стратегию чанкинга в RAG pipeline. Определи: (1) размер чанков (chunk_size), (2) есть ли overlap между чанками, (3) учитываются ли границы предложений/абзацев, (4) сохраняется ли metadata связи между чанками одного документа."
42,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-038,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,MULTI_SOURCE_CONFLICT,Конфликтующие данные из множественных источников без resolution,RAG,UMF-040,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
43,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,UFR-039,RAG И ДАННЫЕ (Retrieval & Data) Риск-факторы и Меры применимы ТОЛЬКО при наличии RAG в агенте. Фиксируем в профиле.,STALE_KNOWLEDGE_BASE,Устаревшие данные в knowledge base без процесса актуализации,RAG,UMF-033,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
46,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-041,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",TOOL_USE_ENABLED,Доступ LLM к вызову внешних функций/инструментов (tool_use / function calling),TOOL,,"Конфиг LLM: tools:[...] / tool_use:enabled / function_calling:auto; модель может вызывать внешние функции; увеличивает поверхность атаки (tool abuse, parameter injection, excessive agency). Ref: OWASP LLM08 (Excessive Agency), OWASP LLM01","Определи: (1) включён ли tool_use / function_calling, (2) какие инструменты доступны модели (полный список tool definitions), (3) в каком режиме работает function_calling (auto / required / none), (4) может ли модель вызывать инструменты без подтверждения пользователя."
47,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-042,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UNRESTRICTED_TOOL_SET,Доступ к инструментам без whitelist / full toolset на каждом шаге,TOOL,UMF-016,"Конфиг: tools = полный список всех доступных инструментов передаётся на каждом шаге; нет per-step, per-task, per-agent ограничения набора tools; нет whitelist по контексту задачи; модель может вызвать любой инструмент на любом шаге. Ref: OWASP LLM08, principle of least privilege for tools","Проанализируй как формируется список tools для каждого LLM-вызова. Определи: (1) передаётся ли полный набор инструментов на каждом шаге, (2) есть ли per-step / per-agent / per-task ограничение набора tools, (3) есть ли whitelist инструментов по типу задачи, (4) может ли модель вызвать деструктивный инструмент при выполнении read-only задачи."
48,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-043,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",DESTRUCTIVE_TOOLS,"Доступ LLM к деструктивным CRUD-операциям, финансовым / PII / инфраструктурным действиям",TOOL,,"Tool definitions: доступны функции с деструктивным импактом — DELETE/DROP (удаление данных), UPDATE (изменение данных), transfer/payment (финансовые операции), send_email/send_sms (коммуникации от имени пользователя), deploy/restart (инфраструктура). Ref: OWASP LLM08, CWE-250 (Execution with Unnecessary Privileges)","Проанализируй полный список tool definitions. Классифицируй каждый инструмент по уровню импакта: READ (чтение), WRITE (запись), DELETE (удаление), FINANCIAL (финансовые операции), COMMUNICATION (отправка сообщений), INFRASTRUCTURE (деплой, рестарт). Перечисли все инструменты с импактом выше READ и укажи, есть ли для них дополнительная защита (approval, confirmation)."
