,,,,,,,,
Группа,TTT,ГРУППА,UMF ID,Short Name,Описание,Группа,При отсутствии активирует UFR,Evidence — что искать
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-010,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),INSTRUCTION_HIERARCHY,Явная instruction hierarchy в промпте каждого агента,MULTI:MF-05,UFR-016,"System prompt каждого агента: явная instruction hierarchy ('системные приоритетнее пользовательских'); уровни приоритета задокументированы. Ref: OWASP LLM01, Anthropic instruction hierarchy","Проанализируй system prompt каждого агента на instruction hierarchy. Проверь: (1) иерархия приоритетов (system > user > tool output), (2) инструкция о разрешении конфликтов, (3) документация уровней."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-090,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),CONTEXT_MANAGEMENT,"Управление контекстом: суммаризация, sliding window, rotation","KNOW:MF-06, LEAK:MF-19",UFR-022,"Код: sliding window / summarization / rotation старых сообщений; проверка len(context) перед каждым LLM call; при превышении — truncation или summarize. Ref: OWASP LLM10, CWE-400","Найди механизм управления размером контекста. Проверь: (1) проверка len(context) перед LLM call, (2) механизм (sliding window, summarization, rotation), (3) порог truncation, (4) сохранение system prompt при truncation."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-092,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),MEMORY_WRITE_VALIDATION,Валидация записей в persistent memory; content filter; TTL; scope,"GH_RCE:MF-04, GH_RCE:MF-13, AGENCY:MF-31",,"Код: memory.write() обёрнут в content_filter(); TTL/expiration; scope привязан к user_id/session_id; нет cross-user записи. Ref: OWASP LLM01, CWE-400","Найди операции записи в persistent memory. Проверь: (1) фильтрация контента перед записью, (2) TTL/expiration, (3) scope isolation по user_id/session_id, (4) cross-user запись невозможна."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-095,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),SAFETY_SYSTEM_INSTRUCTION,Safety-инструкция в system prompt,TOXIC:MF-04,,"System prompt: отдельный safety-блок с инструкциями по этике, отказу от вредных запросов, disclaimers; отделён от основных инструкций. Ref: NIST AI RMF GOVERN 1.4","Проанализируй system prompt на safety-инструкции. Проверь: (1) отдельный safety-блок, (2) инструкции отказа от вредных запросов, (3) disclaimers для sensitive доменов, (4) отделение от основных инструкций."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-096,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),AUDITED_FEW_SHOT,Аудированные few-shot примеры без стереотипов,TOXIC:MF-06,,"System prompt: few-shot примеры аудированы; без стереотипов по полу, расе, возрасту, национальности; сбалансированы по группам. Ref: NIST AI 100-2, EU AI Act Art. 10","Проанализируй few-shot примеры. Проверь: (1) демографические признаки в примерах, (2) баланс по группам, (3) документация аудита few-shot на bias."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-077,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),MODEL_VERSION_PINNING,Фиксация версии модели с evaluation,"KNOW:MF-13, TOXIC:MF-16",UFR-108,"Конфиг: модель зафиксирована по версии (gpt-4o-2024-08-06); auto_upgrade отключён; evaluation suite перед сменой; lock-файл. Ref: OWASP LLM05, NIST AI RMF GOVERN 1.5","Проверь фиксацию версии модели. Убедись: (1) конкретная версия (не 'latest'), (2) auto_upgrade отключён, (3) lock-файл с pinned version, (4) процесс обновления с evaluation."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-093,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),PROMPT_INJECTION_DEFENSE,Многоуровневая защита от prompt injection,DISINFO:MF-20,UFR-081,Код / архитектура: многоуровневая защита от prompt injection — input filter + structural separation + output validation; regex + ML classifier + LLM-as-judge; defence in depth. Ref: OWASP LLM01,"Оцени многоуровневость защиты от prompt injection. Проверь ВСЕХ уровни: (1) входной фильтр, (2) структурное разделение, (3) output validation, (4) мониторинг injection attempts. Укажи реализованные и отсутствующие уровни."
ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),UMF-103,ЗАЩИТА ПРОМПТА И КОНТЕКСТА (Prompt & Context Protection),SEPARATE_SYSTEM_USER_EXTERNAL,,,UFR-012,"Код: system instructions, user input, external data разделены в messages[] (отдельные role-блоки); внешний контент в <untrusted> / [EXTERNAL]; не конкатенированы в одну строку. Ref: OWASP LLM01","Проанализируй формирование messages[]. Проверь: (1) разделение system/user/external в отдельные блоки, (2) маркировка внешнего контента тегами <untrusted>, (3) отсутствие конкатенации через +/f-string/join."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-031,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),RAG_GROUNDING,"RAG с верифицированными источниками, citation enforcement","DISINFO:MF-04, HALL:MF-01, HALL:MF-03, KNOW:MF-02, KNOW:MF-03",UFR-028; UFR-035,System prompt: инструкция отвечать на основе источников; citation enforcement; источники верифицированы с allow-list. Ref: OWASP LLM09,"Проверь RAG grounding: (1) инструкция отвечать на основе источников, (2) citation enforcement, (3) верификация источников (allow-list, audit trail)."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-033,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),RAG_FRESHNESS_PROCESS,Документированный процесс актуализации RAG-корпуса с SLA,KNOW:MF-05,UFR-039,Документация: процесс актуализации RAG-корпуса с SLA; TTL для документов; автоудаление устаревших; audit trail. Ref: NIST AI RMF MAP 2.3,"Проверь процесс актуализации RAG. Найди: (1) SLA обновления, (2) TTL документов, (3) автоудаление устаревших, (4) audit trail изменений."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-034,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),RAG_DOCUMENT_ACL,Сегментация RAG по уровням доступа / namespace isolation,"LEAK:MF-05, LEAK:MF-06, IPI:MF-10, IPI:MF-11",,"Код RAG: index сегментирован по tenant_id / namespace; metadata filter по access_level при retrieval. Ref: OWASP LLM06, CWE-862","Проанализируй сегментацию RAG-индекса: (1) разделение по tenant_id, (2) metadata filter по access_level, (3) невозможность cross-user retrieval."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-035,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),RAG_CONTENT_AUDIT,Аудит и фильтрация RAG-базы при индексации,"TOXIC:MF-13, TOXIC:MF-14, IPI:MF-08, IPI:MF-09, SUPPLY:MF-16",,"Код: content_audit() / injection_scan() перед индексацией; проверка toxicity, injection patterns; approval для external sources. Ref: OWASP LLM01, OWASP LLM03","Найди pipeline индексации в RAG: (1) аудит контента перед индексацией, (2) сканирование injection patterns, (3) проверка toxicity, (4) approval для внешних источников."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-037,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),CHAIN_OF_THOUGHT,Chain-of-thought prompting; task decomposition,"HALL:MF-07, HALL:MF-09, KNOW:MF-26",,System prompt / код: chain-of-thought prompting; task decomposition; structured reasoning. Ref: OWASP LLM09,"Проверь CoT и task decomposition: (1) инструкция 'рассуждай пошагово', (2) structured reasoning format, (3) декомпозиция сложных задач."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-038,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),CHUNKING_OVERLAP_STRATEGY,Стратегия чанкинга с overlap и metadata,KNOW:MF-22,,Код RAG: chunk_size с учётом document type; overlap > 0; границы по предложениям; metadata linking между чанками. Ref: RAG best practices,"Проанализируй стратегию чанкинга: (1) overlap и его размер, (2) выравнивание по предложениям, (3) metadata связь (parent_id, chunk_index), (4) адаптация chunk_size."
КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),UMF-040,КОНТРОЛЬ RAG И ДАННЫХ (RAG & Data Controls),CONFLICT_RESOLUTION_LOGIC,Логика разрешения конфликтов из RAG,KNOW:MF-23,UFR-038,"Код: логика приоритетов при конфликтах в RAG (по дате, trust_level, relevance); сигнализация конфликта пользователю. Ref: OWASP LLM09","Проверь логику разрешения конфликтов: (1) приоритеты (дата, trust level, relevance), (2) сигнализация пользователю, (3) документация стратегии."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-016,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),TOOL_WHITELIST,Ограниченный набор инструментов / per-agent scoping / step-level binding,"DPI:MF-12, AGENCY:MF-01, AGENCY:MF-32, GH_RCE:MF-19, GH_RCE:MF-20, MULTI:MF-15, MULTI:MF-19, SUPPLY:MF-11",,"Конфиг: tools = whitelist per agent / per step / per task; dangerous tools ограничены контекстом; step-level binding. Ref: OWASP LLM08, least privilege","Проанализируй формирование списка tools: (1) whitelist per agent/step, (2) ограничение dangerous tools, (3) документация mapping task → allowed tools."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-017,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),TOOL_CALL_SCHEMA_VALIDATION,Валидация tool call params по JSON Schema + business rules,"GH_RCE:MF-12, AGENCY:MF-16, IPI:MF-15",UFR-048,"Код: validation(params, json_schema) перед вызовом tool; типы, диапазоны, бизнес-правила; reject при невалидных params. Ref: OWASP LLM08, CWE-20","Найди валидацию tool call params: (1) JSON Schema validation, (2) проверка типов и диапазонов, (3) бизнес-правила, (4) reject с ошибкой при невалидных."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-018,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),TOOL_OUTPUT_SANITIZATION,Санитизация tool output от instruction patterns перед включением в контекст,"GH_RCE:MF-02, GH_RCE:MF-14, AGENCY:MF-18, IPI:MF-03",,Код: sanitize() / strip_instructions() на tool output; role:'tool' (не system); удаление instruction patterns. Ref: OWASP LLM01,"Найди обработку tool output: (1) sanitize() / strip_instructions(), (2) role = tool (не system), (3) удаление instruction patterns, (4) ограничение длины."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-019,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),GRANULAR_TOOLS,Гранулярные инструменты вместо open-ended; whitelist shell-команд,"AGENCY:MF-02, GH_RCE:MF-09",,"Tool definitions: гранулярные инструменты; нет open-ended shell/eval; whitelist shell-команд; parameterized SQL. Ref: OWASP LLM08, CWE-78","Проанализируй tool definitions: (1) гранулярность (одна операция vs произвольная команда), (2) whitelist shell-команд, (3) parameterized SQL, (4) отсутствие eval/exec."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-020,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),DYNAMIC_TOOL_VALIDATION,"Валидация динамических tools: hash/signature, allowlist источников","AGENCY:MF-04, MULTI:MF-21, MULTI:MF-22, MULTI:MF-23",,"Код: hash/signature verification для dynamic tools/plugins; allowlist источников; integrity check при загрузке. Ref: OWASP LLM05, CWE-494","Найди динамическую загрузку tools/plugins: (1) hash/signature verification, (2) allowlist источников, (3) integrity check, (4) изоляция от secrets."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-051,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),SANDBOX_EXECUTION,Sandbox-изоляция для code execution в hardened environment,"GH_RCE:MF-08, AGENCY:MF-25, HALL:MF-12, SUPPLY:MF-28",,"Инфра: code execution в sandbox (gVisor, Firecracker, nsjail); drop ALL caps, no-new-privileges, network isolation, read-only FS, timeout. Ref: OWASP LLM08, CWE-94","Найди конфигурацию sandbox: (1) тип sandbox, (2) drop ALL capabilities, (3) network isolation, (4) read-only FS, (5) timeout и resource limits."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-052,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),EVAL_EXEC_PROHIBITION,Запрет eval()/exec() на LLM output; parameterized SQL,"GH_RCE:MF-10, GH_RCE:MF-11",,"Код: нет eval()/exec() на LLM output; parameterized SQL; yaml.safe_load(); json.loads() без custom hooks. Ref: CWE-502, CWE-94","Найди вызовы eval(), exec(), pickle.loads(), yaml.load(): (1) источник данных (LLM output?), (2) безопасные альтернативы, (3) parameterized SQL."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-053,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),CODE_APPROVAL_GATE,Разделение генерации и исполнения кода с approval gate,GH_RCE:MF-07,,Архитектура: генерация и исполнение кода разделены; approval gate; static analysis перед исполнением. Ref: OWASP LLM08,"Проверь разделение генерации и исполнения кода: (1) separation, (2) approval gate (human/automated), (3) static analysis / linting."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-100,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),MCP_ALLOWLIST_PINNED,Allow-list MCP-серверов с pinned versions; inventory audit,"MULTI:MF-21, MULTI:MF-35, SUPPLY:MF-36",,"Конфиг: allow-list MCP-серверов с pinned versions/hashes; inventory audit; регулярный review. Ref: OWASP LLM05, MCP Security","Проверь управление MCP-серверами: (1) allow-list, (2) pinned versions/hash, (3) inventory (кто, когда, зачем), (4) регулярный review."
КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),UMF-101,КОНТРОЛЬ ИНСТРУМЕНТОВ И КОДА (Tool & Code Controls),,,,,"Код: tool descriptions с review и hash pinning; immutable после approve; re-approval при изменении; мониторинг drift. Ref: OWASP LLM01, MCP tool poisoning","Проверь tool descriptions: (1) review и approval, (2) hash pinning (immutable), (3) re-approval при изменении, (4) мониторинг drift."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-011,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),OUTPUT_SCHEMA_VALIDATION,Валидация формата / structured output ответа LLM,"DPI:MF-09, LEAK:MF-09, HALL:MF-08, KNOW:MF-11, TOXIC:MF-09",UFR-070,"Код: validate(response, output_schema) перед отправкой; structured output mode; retry/fallback при несоответствии. Ref: OWASP LLM02","Найди валидацию LLM output: (1) validation по output schema, (2) structured output mode, (3) действие при несоответствии (retry, fallback, error)."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-012,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),OUTPUT_SANITIZE_HTML,Экранирование HTML/Markdown; блокировка внешних ссылок; CSP,"DPI:MF-10, IPI:MF-13, IPI:MF-14",,"Код: html.escape() / DOMPurify на LLM output; блокировка external links; CSP header. Ref: CWE-79, OWASP LLM02","Найди рендеринг LLM output в UI: (1) html.escape() / DOMPurify, (2) блокировка external links, (3) CSP header, (4) Markdown sanitization."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-013,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),OUTPUT_LEAK_DETECTION,Проверка вывода на паттерны утечки / PII / секреты / exfiltration,"DPI:MF-11, LEAK:MF-08, LEAK:MF-18, IPI:MF-16",,"Код: leak_detection() / pii_scan() на output — API keys, credentials, PII, system prompt fragments; mask/block. Ref: OWASP LLM06, CWE-200","Найди детектор утечек в output: (1) паттерны API-ключей, credentials, (2) PII detection, (3) system prompt fragments, (4) действие (mask, block, alert)."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-014,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),OUTPUT_TOXICITY_CLASSIFIER,Классификатор токсичности / content safety на выходе LLM,"TOXIC:MF-07, DISINFO:MF-05",,"Код: output classifier на toxicity, hate speech, unsafe content; перед отправкой пользователю. Ref: OWASP LLM09, NIST AI RMF MANAGE 2.4","Найди классификатор output контента: (1) toxicity / hate speech / unsafe, (2) механизм (ML, keyword, LLM-as-judge), (3) вызов ДО отправки, (4) действие при срабатывании."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-036,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),FACT_CHECK_PIPELINE,Post-generation fact-checking / hallucination detection,"HALL:MF-10, HALL:MF-11, KNOW:MF-09, KNOW:MF-10, DISINFO:MF-13",UFR-079,"Код: post-generation fact-checking — сверка с RAG, cross-reference, hallucination detection; confidence score. Ref: OWASP LLM09","Найди fact-checking pipeline: (1) hallucination detection, (2) сверка с RAG-источниками, (3) confidence score, (4) действие при низком confidence."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-064,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),AI_CONTENT_LABELING,Видимый лейбл AI-generated; C2PA provenance; watermark,"DISINFO:MF-01, DISINFO:MF-02, DISINFO:MF-03, HALL:MF-29, KNOW:MF-17",UFR-074,"UI / код: видимый лейбл AI-generated; C2PA provenance; watermark. Ref: EU AI Act Art. 50, NIST AI RMF GOVERN 1.7","Проверь маркировку AI-контента: (1) видимый лейбл, (2) C2PA metadata, (3) watermark, (4) понятность для пользователя."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-065,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),CONFIDENCE_VISUALIZATION,Confidence scoring с отображением в UI; uncertainty signal,"DISINFO:MF-09, HALL:MF-30, KNOW:MF-16",UFR-075,"UI: confidence score рядом с ответом; uncertainty signal (цвет, прогресс-бар); предупреждение при низком confidence. Ref: NIST AI RMF MAP 2.3","Проверь отображение confidence: (1) score в UI, (2) visual indicator, (3) предупреждение при низком confidence."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-068,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),IMPERSONATION_GUARD,Детекция и блокировка impersonation,DISINFO:MF-14,,"Код: impersonation guard — детекция генерации от имени реальных лиц; блокировка attribution; NER/pattern detection. Ref: OWASP LLM09, EU AI Act Art. 50","Найди детекцию impersonation: (1) механизм (NER, pattern, blocklist), (2) блокировка attribution к реальным лицам, (3) действие при обнаружении."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-073,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),DOMAIN_SPECIFIC_VERIFICATION,"Domain-specific верификация (код, юриспруденция, медицина, финансы)","HALL:MF-37, KNOW:MF-12",UFR-109,"Код: domain-specific verification — медицина (дозировки), юриспруденция (ссылки), финансы (расчёты), код (lint, tests). Ref: OWASP LLM09","Проверь domain-specific верификацию: (1) медицина — дозировки, противопоказания, (2) юриспруденция — ссылки на законы, (3) финансы — расчёты, (4) код — lint, тесты."
КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),UMF-094,КОНТРОЛЬ ВЫВОДА И ДОСТОВЕРНОСТИ (Output & Veracity Controls),VALIDATED_GENERATED_URLS,,,UFR-073,"Код: проверка URL и package names из LLM output — DNS resolve, registry lookup, reputation; allow-list пакетов. Ref: OWASP LLM02, slopsquatting","Проверь валидацию URL и packages из output: (1) DNS resolve, (2) registry lookup, (3) reputation check, (4) allow-list пакетов."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-021,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),HITL_HIGH_IMPACT,Human-in-the-Loop для деструктивных / высокоимпактных операций,"DPI:MF-13, GH_RCE:MF-16, AGENCY:MF-11, IPI:MF-19, MULTI:MF-18, KNOW:MF-15, TOXIC:MF-23, HALL:MF-32",UFR-077,"Код: high-impact операции требуют human approval; HITL dialog с описанием; timeout; fallback. Ref: OWASP LLM08, NIST AI RMF GOVERN 1.4","Найди high-impact операции и проверь HITL: (1) human approval, (2) описание действия и последствий, (3) timeout на ожидание, (4) fallback без подтверждения."
